obsnme,obsval,weight,obgnme
corn_cn_a,67.0,0.0,parameter-processor-values
corn_cn_b,79.474,0.0,parameter-processor-values
corn_cn_c,86.437,0.0,parameter-processor-values
corn_cn_d,89.176,0.0,parameter-processor-values
corn_cn_ad,67.0,0.0,parameter-processor-values
corn_cn_bd,79.474,0.0,parameter-processor-values
corn_cn_cd,86.437,0.0,parameter-processor-values
corn_rz_a,1.5,0.0,parameter-processor-values
corn_rz_b,1.875,0.0,parameter-processor-values
corn_rz_c,1.5,0.0,parameter-processor-values
corn_rz_d,0.999,0.0,parameter-processor-values
corn_rz_ad,1.5,0.0,parameter-processor-values
corn_rz_bd,1.875,0.0,parameter-processor-values
corn_rz_cd,1.5,0.0,parameter-processor-values
corn_max_net_infil_a,5.0,0.0,parameter-processor-values
corn_max_net_infil_b,0.75,0.0,parameter-processor-values
corn_max_net_infil_c,0.3,0.0,parameter-processor-values
corn_max_net_infil_d,0.15,0.0,parameter-processor-values
corn_max_net_infil_ad,5.0,0.0,parameter-processor-values
corn_max_net_infil_bd,0.75,0.0,parameter-processor-values
corn_max_net_infil_cd,0.3,0.0,parameter-processor-values
soybn_cn_a,67.0,0.0,parameter-processor-values
soybn_cn_b,79.474,0.0,parameter-processor-values
soybn_cn_c,86.437,0.0,parameter-processor-values
soybn_cn_d,89.176,0.0,parameter-processor-values
soybn_cn_ad,67.0,0.0,parameter-processor-values
soybn_cn_bd,79.474,0.0,parameter-processor-values
soybn_cn_cd,86.437,0.0,parameter-processor-values
soybn_rz_a,1.5,0.0,parameter-processor-values
soybn_rz_b,1.875,0.0,parameter-processor-values
soybn_rz_c,1.5,0.0,parameter-processor-values
soybn_rz_d,0.999,0.0,parameter-processor-values
soybn_rz_ad,1.5,0.0,parameter-processor-values
soybn_rz_bd,1.875,0.0,parameter-processor-values
soybn_rz_cd,1.5,0.0,parameter-processor-values
soybn_max_net_infil_a,5.0,0.0,parameter-processor-values
soybn_max_net_infil_b,0.75,0.0,parameter-processor-values
soybn_max_net_infil_c,0.3,0.0,parameter-processor-values
soybn_max_net_infil_d,0.15,0.0,parameter-processor-values
soybn_max_net_infil_ad,5.0,0.0,parameter-processor-values
soybn_max_net_infil_bd,0.75,0.0,parameter-processor-values
soybn_max_net_infil_cd,0.3,0.0,parameter-processor-values
alfalf_cn_a,64.0,0.0,parameter-processor-values
alfalf_cn_b,77.608,0.0,parameter-processor-values
alfalf_cn_c,85.204,0.0,parameter-processor-values
alfalf_cn_d,88.192,0.0,parameter-processor-values
alfalf_cn_ad,64.0,0.0,parameter-processor-values
alfalf_cn_bd,77.608,0.0,parameter-processor-values
alfalf_cn_cd,85.204,0.0,parameter-processor-values
alfalf_rz_a,1.5,0.0,parameter-processor-values
alfalf_rz_b,1.875,0.0,parameter-processor-values
alfalf_rz_c,1.5,0.0,parameter-processor-values
alfalf_rz_d,0.999,0.0,parameter-processor-values
alfalf_rz_ad,1.5,0.0,parameter-processor-values
alfalf_rz_bd,1.875,0.0,parameter-processor-values
alfalf_rz_cd,1.5,0.0,parameter-processor-values
alfalf_max_net_infil_a,5.0,0.0,parameter-processor-values
alfalf_max_net_infil_b,0.75,0.0,parameter-processor-values
alfalf_max_net_infil_c,0.3,0.0,parameter-processor-values
alfalf_max_net_infil_d,0.15,0.0,parameter-processor-values
alfalf_max_net_infil_ad,5.0,0.0,parameter-processor-values
alfalf_max_net_infil_bd,0.75,0.0,parameter-processor-values
alfalf_max_net_infil_cd,0.3,0.0,parameter-processor-values
smgrn_cn_a,65.0,0.0,parameter-processor-values
smgrn_cn_b,78.23,0.0,parameter-processor-values
smgrn_cn_c,85.615,0.0,parameter-processor-values
smgrn_cn_d,88.52,0.0,parameter-processor-values
