parnme,partrans,parchglim,parval1,parlbnd,parubnd,pargp,scale,offset,dercom
alfalf_growing_season_interception_a,none,factor,0.08,0.04,0.12,growing-season-interception,1.0,0.0,1
alfalf_base-cn,none,factor,64.0,54.0,74.0,base-cn,1.0,0.0,1
alfalf_base-max-ni,none,factor,5.0,2.0,10.0,base-max-ni,1.0,0.0,1
alfalf_base-rz,none,factor,1.5,0.75,2.25,base-rz,1.0,0.0,1
alfalf_l-mid-length,none,factor,60.0,48.0,69.0,l-mid-length,1.0,0.0,1
alfalf_plant-date,none,factor,120.0,102.0,138.0,plant-date,1.0,0.0,1
corn_base-cn,none,factor,67.0,57.0,77.0,base-cn,1.0,0.0,1
corn_base-max-ni,none,factor,5.0,2.0,10.0,base-max-ni,1.0,0.0,1
corn_base-rz,none,factor,1.5,0.75,2.25,base-rz,1.0,0.0,1
corn_growing_season_interception_a,none,factor,0.08,0.04,0.12,growing-season-interception,1.0,0.0,1
corn_l-mid-length,none,factor,40.0,32.0,46.0,l-mid-length,1.0,0.0,1
corn_plant-date,none,factor,125.0,106.0,144.0,plant-date,1.0,0.0,1
decfrst_base-cn,none,factor,40.0,30.0,50.0,base-cn,1.0,0.0,1
decfrst_base-max-ni,none,factor,5.0,2.0,10.0,base-max-ni,1.0,0.0,1
decfrst_base-rz,none,factor,3.5,1.75,5.25,base-rz,1.0,0.0,1
decfrst_growing_season_interception_a,none,factor,0.12,0.06,0.18,growing-season-interception,1.0,0.0,1
deciduous_l-mid-length,none,factor,90.0,72.0,103.0,l-mid-length,1.0,0.0,1
deciduous_plant-date,none,factor,91.0,77.0,105.0,plant-date,1.0,0.0,1
dev-low_l-mid-length,none,factor,90.0,72.0,103.0,l-mid-length,1.0,0.0,1
dev-low_plant-date,none,factor,91.0,77.0,105.0,plant-date,1.0,0.0,1
dev-med_l-mid-length,none,factor,90.0,72.0,103.0,l-mid-length,1.0,0.0,1
dev-med_plant-date,none,factor,91.0,77.0,105.0,plant-date,1.0,0.0,1
dev-open_l-mid-length,none,factor,90.0,72.0,103.0,l-mid-length,1.0,0.0,1
