idx,OBS_value,OBS_stdev,OBS_group,Station,Obs_Zone,PEST_name
04015438_2000,18.966,1.451,AET_annual__no-east,4015438,0,aet_0_04015438_2000
04015438_2001,20.396,1.681,AET_annual__no-east,4015438,0,aet_0_04015438_2001
04015438_2002,20.316,1.559,AET_annual__no-east,4015438,0,aet_0_04015438_2002
04015438_2003,18.629,1.516,AET_annual__no-east,4015438,0,aet_0_04015438_2003
04015438_2004,17.483,1.761,AET_annual__no-east,4015438,0,aet_0_04015438_2004
04015438_2005,17.602,1.56,AET_annual__no-east,4015438,0,aet_0_04015438_2005
04015438_2006,19.743,1.444,AET_annual__no-east,4015438,0,aet_0_04015438_2006
04015438_2007,17.721,1.522,AET_annual__no-east,4015438,0,aet_0_04015438_2007
04015438_2008,18.242,1.747,AET_annual__no-east,4015438,0,aet_0_04015438_2008
04015438_2009,17.742,1.621,AET_annual__no-east,4015438,0,aet_0_04015438_2009
04015438_2010,17.797,1.442,AET_annual__no-east,4015438,0,aet_0_04015438_2010
04015438_2011,17.892,1.407,AET_annual__no-east,4015438,0,aet_0_04015438_2011
04015438_2012,19.753,1.341,AET_annual__no-east,4015438,0,aet_0_04015438_2012
04015438_2013,18.673,1.702,AET_annual__no-east,4015438,0,aet_0_04015438_2013
04015438_2014,17.747,1.694,AET_annual__no-east,4015438,0,aet_0_04015438_2014
04015438_2015,19.051,1.572,AET_annual__no-east,4015438,0,aet_0_04015438_2015
04015438_2016,19.905,1.596,AET_annual__no-east,4015438,0,aet_0_04015438_2016
04015438_2017,20.2,1.636,AET_annual__no-east,4015438,0,aet_0_04015438_2017
04015438_2018,18.387,1.531,AET_annual__no-east,4015438,0,aet_0_04015438_2018
04015438_fall-2000,2.975,0.231,AET_seas__no-east,4015438,0,aet_0_04015438_fall-2000
04015438_fall-2001,3.054,0.242,AET_seas__no-east,4015438,0,aet_0_04015438_fall-2001
04015438_fall-2002,3.098,0.233,AET_seas__no-east,4015438,0,aet_0_04015438_fall-2002
04015438_fall-2003,2.867,0.256,AET_seas__no-east,4015438,0,aet_0_04015438_fall-2003
04015438_fall-2004,3.268,0.314,AET_seas__no-east,4015438,0,aet_0_04015438_fall-2004
04015438_fall-2005,3.202,0.268,AET_seas__no-east,4015438,0,aet_0_04015438_fall-2005
04015438_fall-2006,2.924,0.224,AET_seas__no-east,4015438,0,aet_0_04015438_fall-2006
04015438_fall-2007,2.575,0.233,AET_seas__no-east,4015438,0,aet_0_04015438_fall-2007
04015438_fall-2008,2.774,0.273,AET_seas__no-east,4015438,0,aet_0_04015438_fall-2008
04015438_fall-2009,2.925,0.272,AET_seas__no-east,4015438,0,aet_0_04015438_fall-2009
04015438_fall-2010,2.38,0.192,AET_seas__no-east,4015438,0,aet_0_04015438_fall-2010
04015438_fall-2011,3.295,0.245,AET_seas__no-east,4015438,0,aet_0_04015438_fall-2011
