,BASIN_INDX,station_nm,site_no,area_calc
0,0,"ST. LOUIS RIVER NEAR SKIBO, MN",4015438,100.84379387694707
1,1,"BOIS BRULE RIVER AT BRULE, WI",4025500,117.83726036935599
2,2,"STONEY BROOK AT PINE DRIVE NEAR BROOKSTON, MN",4021520,74.28467912093033
3,3,"WHITTLESEY CREEK NEAR ASHLAND, WI",40263205,28.258041271978833
4,4,"NORTH FISH CREEK NEAR MOQUAH, WI",40263491,79.1517049600449
5,5,"BEARTRAP CREEK AT U.S. HIGHWAY 2 NEAR ASHLAND, WI",4026390,22.82629480962361
6,6,"BAD RIVER NEAR MELLEN, WI",4026450,82.82484025875175
7,7,"TYLER FORKS RIVER AT STRICKER ROAD NEAR MELLEN, WI",4026561,70.3746883215006
8,8,"YELLOW BANK RIVER NEAR ODESSA, MN",5293000,459.40652964606227
9,9,"HIGH ISLAND CREEK NEAR HENDERSON, MN",5327000,240.0219276295954
10,10,"BUFFALO RIVER NEAR HAWLEY, MN",5061000,336.0192856812944
11,11,"KNIFE RIVER NEAR TWO HARBORS, MN",4015330,86.09573472939664
12,12,"LOST RIVER AT OKLEE, MN",5078230,249.1300624151428
13,13,"ROSEAU RIVER BELOW SOUTH FORK NEAR MALUNG, MN",5104500,428.0428729170679
14,14,"KAWISHIWI RIVER NEAR ELY, MN",5124480,251.24170498290957
15,15,"STRAIGHT RIVER NEAR PARK RAPIDS, MN",5243725,58.92720828329041
16,16,"STRAIGHT RIVER NEAR FARIBAULT, MN",5353800,436.36596986437684
17,17,"SOUTH FORK ROOT RIVER NEAR HOUSTON, MN",5385500,274.6253405844553
18,18,"ELM CREEK NR CHAMPLIN, MN",5287890,85.43997754409303
19,19,"NEMADJI RIVER NEAR SOUTH SUPERIOR, WI",4024430,422.76999110939494
20,20,"BEAR RIVER NEAR MANITOWISH WATERS, WI",5357335,94.58275056659993
21,21,"HAY RIVER AT WHEELER, WI",5368000,436.73950896119834
22,22,"SPIRIT RIVER AT SPIRIT FALLS, WI",5393500,84.75568246259968
23,23,"KICKAPOO RIVER AT LA FARGE, WI",5408000,266.2826188482051
24,24,"WHITE RIVER NEAR ASHLAND, WI",4027500,269.4583464084007
25,25,"LITTLE MINNESOTA RIVER NEAR PEEVER, SD",5290000,448.57118003900155
26,26,"WHETSTONE RIVER NEAR BIG STONE CITY, SD",5291000,405.6280661745998
27,27,FLANDREAU CREEK ABOVE FLANDREAU SD,6480650,100.50895294420033
28,28,"SPLIT ROCK CREEK AT CORSON,SD",6482610,482.1008182617982
29,29,"RUSH RIVER AT AMENIA, ND",5060500,99.5419990954
30,30,"RUSH RIVER NEAR ESDAILE, WI",5355322,186.31433091418958
31,31,"PRAIRIE RIVER NEAR TACONITE, MN",5212700,363.8440471509191
32,32,"BOIS BRULE RIVER NEAR LAKE SUPERIOR, WI",4026005,187.20153106478975
33,33,"SISKIWIT RIVER AT CORNUCOPIA, WI",4026160,27.308345887339392
34,34,"ANTELOPE CREEK AT DWIGHT, ND",5052500,284.8903011303302
35,35,"SOUTH BRANCH BUFFALO RIVER AT SABIN, MN",5061500,460.8128543626886
36,36,"S. BR. WILD RICE RIVER AT CO. RD. 27 NR FELTON, MN",5063398,191.96018038601215
37,37,"SNAKE RIVER ABOVE WARREN, MN",5085450,176.34355669599233
38,38,"STURGEON RIVER NEAR CHISHOLM, MN",5130500,186.23706709038407
39,39,"LONG PRAIRIE RIVER AT LONG PRAIRIE, MN",5245100,447.7558766156819
40,40,"RICE CREEK BLW OLD HWY. 8 IN MOUNDS VIEW, MN",5288580,156.15551282059351
41,41,"SHINGLE CREEK AT QUEEN AVE IN MINNEAPOLIS, MN",5288705,30.129389046001418
